dia,n,media_movel_7d,incompleto
2024-11-15,249.0,213.28571428571428,False
2024-11-16,222.0,213.85714285714286,False
2024-11-17,216.0,208.28571428571428,False
2024-11-18,186.0,199.85714285714286,False
2024-11-19,200.0,196.14285714285714,False
2024-11-20,155.0,196.85714285714286,False
2024-11-21,171.0,196.57142857142858,False
2024-11-22,223.0,196.85714285714286,False
2024-11-23,227.0,194.42857142857142,False
2024-11-24,214.0,199.0,False
2024-11-25,188.0,201.28571428571428,False
2024-11-26,183.0,197.42857142857142,False
2024-11-27,187.0,195.0,False
2024-11-28,187.0,199.85714285714286,False
2024-11-29,196.0,201.14285714285714,False
2024-11-30,210.0,200.71428571428572,False
2024-12-01,248.0,199.14285714285714,False
2024-12-02,197.0,197.85714285714286,False
2024-12-03,180.0,204.85714285714286,False
2024-12-04,176.0,213.28571428571428,False
2024-12-05,178.0,208.57142857142858,False
2024-12-06,245.0,210.28571428571428,False
2024-12-07,269.0,211.85714285714286,False
2024-12-08,215.0,214.85714285714286,False
2024-12-09,209.0,217.42857142857142,False
2024-12-10,191.0,214.28571428571428,False
2024-12-11,197.0,213.71428571428572,False
2024-12-12,196.0,218.0,False
2024-12-13,223.0,214.85714285714286,False
2024-12-14,265.0,215.57142857142858,False
2024-12-15,245.0,214.85714285714286,False
2024-12-16,187.0,218.14285714285714,False
2024-12-17,196.0,226.28571428571428,False
2024-12-18,192.0,234.0,False
2024-12-19,219.0,239.14285714285714,False
2024-12-20,280.0,244.14285714285714,False
2024-12-21,319.0,241.57142857142858,False
2024-12-22,281.0,245.28571428571428,False
2024-12-23,222.0,241.42857142857142,False
2024-12-24,178.0,231.57142857142858,False
2024-12-25,218.0,214.57142857142858,False
2024-12-26,192.0,195.14285714285714,False
2024-12-27,211.0,185.85714285714286,False
2024-12-28,200.0,182.71428571428572,False
2024-12-29,145.0,179.14285714285714,False
2024-12-30,157.0,174.71428571428572,False
2024-12-31,156.0,170.14285714285714,False
2025-01-01,193.0,167.14285714285714,False
2025-01-02,161.0,169.85714285714286,False
2025-01-03,179.0,172.14285714285714,False
2025-01-04,179.0,170.71428571428572,False
2025-01-05,164.0,165.71428571428572,False
2025-01-06,173.0,166.28571428571428,False
2025-01-07,146.0,166.85714285714286,False
2025-01-08,158.0,168.71428571428572,False
2025-01-09,165.0,173.85714285714286,False
2025-01-10,183.0,175.14285714285714,False
2025-01-11,192.0,179.28571428571428,False
2025-01-12,200.0,183.42857142857142,False
2025-01-13,182.0,182.0,False
2025-01-14,175.0,183.28571428571428,False
2025-01-15,187.0,182.0,False
2025-01-16,155.0,182.42857142857142,False
2025-01-17,192.0,185.85714285714286,False
2025-01-18,183.0,184.85714285714286,False
2025-01-19,203.0,182.85714285714286,False
2025-01-20,206.0,184.28571428571428,False
2025-01-21,168.0,181.71428571428572,False
2025-01-22,173.0,185.28571428571428,False
2025-01-23,165.0,188.85714285714286,False
2025-01-24,174.0,185.85714285714286,False
2025-01-25,208.0,183.28571428571428,False
2025-01-26,228.0,179.42857142857142,False
2025-01-27,185.0,179.57142857142858,False
2025-01-28,150.0,181.71428571428572,False
2025-01-29,146.0,178.71428571428572,False
2025-01-30,166.0,177.57142857142858,False
2025-01-31,189.0,176.28571428571428,False
2025-02-01,187.0,177.14285714285714,False
2025-02-02,220.0,179.85714285714286,False
2025-02-03,176.0,181.28571428571428,False
2025-02-04,156.0,182.71428571428572,False
2025-02-05,165.0,188.57142857142858,False
2025-02-06,176.0,191.14285714285714,False
2025-02-07,199.0,192.71428571428572,False
2025-02-08,228.0,194.85714285714286,False
2025-02-09,238.0,195.71428571428572,False
2025-02-10,187.0,192.42857142857142,False
2025-02-11,171.0,192.14285714285714,False
2025-02-12,171.0,188.42857142857142,False
2025-02-13,153.0,185.85714285714286,False
2025-02-14,197.0,186.71428571428572,False
2025-02-15,202.0,186.14285714285714,False
2025-02-16,220.0,184.71428571428572,False
2025-02-17,193.0,183.85714285714286,False
2025-02-18,167.0,179.85714285714286,False
2025-02-19,161.0,182.28571428571428,False
2025-02-20,147.0,180.85714285714286,False
2025-02-21,169.0,186.42857142857142,False
2025-02-22,219.0,185.57142857142858,False
2025-02-23,210.0,189.57142857142858,False
2025-02-24,232.0,193.42857142857142,False
2025-02-25,161.0,200.57142857142858,False
2025-02-26,189.0,204.42857142857142,False
2025-02-27,174.0,206.85714285714286,False
2025-02-28,219.0,196.42857142857142,False
2025-03-01,246.0,197.28571428571428,False
2025-03-02,227.0,194.85714285714286,False
2025-03-03,159.0,196.28571428571428,False
2025-03-04,167.0,194.57142857142858,False
2025-03-05,172.0,188.28571428571428,False
2025-03-06,184.0,185.28571428571428,False
2025-03-07,207.0,188.14285714285714,False
2025-03-08,202.0,187.57142857142858,False
2025-03-09,206.0,188.0,False
2025-03-10,179.0,189.85714285714286,False
2025-03-11,163.0,190.0,False
2025-03-12,175.0,190.0,False
2025-03-13,197.0,190.42857142857142,False
2025-03-14,208.0,191.85714285714286,False
2025-03-15,202.0,193.28571428571428,False
2025-03-16,209.0,193.42857142857142,False
2025-03-17,189.0,191.42857142857142,False
2025-03-18,173.0,188.57142857142858,False
2025-03-19,176.0,187.57142857142858,False
2025-03-20,183.0,188.0,False
2025-03-21,188.0,189.42857142857142,False
2025-03-22,195.0,191.0,False
2025-03-23,212.0,189.85714285714286,False
2025-03-24,199.0,190.14285714285714,False
2025-03-25,184.0,195.42857142857142,False
2025-03-26,168.0,197.28571428571428,False
