dia,n,media_movel_7d
2024-05-13,203,211.57142857142858
2024-05-14,176,211.14285714285714
2024-05-15,179,207.0
2024-05-16,163,202.57142857142858
2024-05-17,224,202.42857142857142
2024-05-18,244,202.85714285714286
2024-05-19,231,202.85714285714286
2024-05-20,181,199.71428571428572
2024-05-21,169,198.71428571428572
2024-05-22,171,197.57142857142858
2024-05-23,188,201.14285714285714
2024-05-24,227,201.57142857142858
2024-05-25,194,194.42857142857142
2024-05-26,246,196.57142857142858
2024-05-27,200,199.28571428571428
2024-05-28,168,199.14285714285714
2024-05-29,224,206.71428571428572
2024-05-30,205,209.14285714285714
2024-05-31,200,205.28571428571428
2024-06-01,197,205.71428571428572
2024-06-02,266,208.57142857142858
2024-06-03,199,208.42857142857142
2024-06-04,164,207.85714285714286
2024-06-05,163,199.14285714285714
2024-06-06,183,196.0
2024-06-07,227,199.85714285714286
2024-06-08,262,209.14285714285714
2024-06-09,245,206.14285714285714
2024-06-10,218,208.85714285714286
2024-06-11,183,211.57142857142858
2024-06-12,184,214.57142857142858
2024-06-13,199,216.85714285714286
2024-06-14,215,215.14285714285714
2024-06-15,208,207.42857142857142
2024-06-16,245,207.42857142857142
2024-06-17,207,205.85714285714286
2024-06-18,184,206.0
2024-06-19,188,206.57142857142858
2024-06-20,177,203.42857142857142
2024-06-21,228,205.28571428571428
2024-06-22,239,209.71428571428572
2024-06-23,226,207.0
2024-06-24,210,207.42857142857142
2024-06-25,194,208.85714285714286
2024-06-26,178,207.42857142857142
2024-06-27,189,209.14285714285714
2024-06-28,209,206.42857142857142
2024-06-29,220,203.71428571428572
2024-06-30,218,202.57142857142858
2024-07-01,192,200.0
2024-07-02,208,202.0
2024-07-03,185,203.0
2024-07-04,184,202.28571428571428
2024-07-05,263,210.0
2024-07-06,277,218.14285714285714
2024-07-07,264,224.71428571428572
2024-07-08,217,228.28571428571428
2024-07-09,202,227.42857142857142
2024-07-10,187,227.71428571428572
2024-07-11,209,231.28571428571428
2024-07-12,211,223.85714285714286
2024-07-13,225,216.42857142857142
2024-07-14,225,210.85714285714286
2024-07-15,197,208.0
2024-07-16,171,203.57142857142858
2024-07-17,179,202.42857142857142
2024-07-18,193,200.14285714285714
2024-07-19,231,203.0
2024-07-20,205,200.14285714285714
2024-07-21,242,202.57142857142858
2024-07-22,199,202.85714285714286
2024-07-23,167,202.28571428571428
2024-07-24,191,204.0
2024-07-25,195,204.28571428571428
2024-07-26,213,201.71428571428572
2024-07-27,210,202.42857142857142
2024-07-28,219,199.14285714285714
2024-07-29,203,199.71428571428572
2024-07-30,159,198.57142857142858
2024-07-31,178,196.71428571428572
2024-08-01,187,195.57142857142858
2024-08-02,235,198.71428571428572
2024-08-03,250,204.42857142857142
2024-08-04,223,205.0
2024-08-05,204,205.14285714285714
2024-08-06,172,207.0
2024-08-07,182,207.57142857142858
2024-08-08,182,206.85714285714286
2024-08-09,225,205.42857142857142
2024-08-10,229,202.42857142857142
2024-08-11,218,201.71428571428572
2024-08-12,188,199.42857142857142
2024-08-13,169,199.0
2024-08-14,168,197.0
2024-08-15,173,195.71428571428572
2024-08-16,202,192.42857142857142
2024-08-17,234,193.14285714285714
2024-08-18,240,196.28571428571428
2024-08-19,192,196.85714285714286
2024-08-20,163,196.0
2024-08-21,164,195.42857142857142
2024-08-22,166,194.42857142857142
2024-08-23,216,196.42857142857142
2024-08-24,228,195.57142857142858
2024-08-25,186,187.85714285714286
2024-08-26,204,189.57142857142858
2024-08-27,169,190.42857142857142
2024-08-28,155,189.14285714285714
2024-08-29,179,191.0
2024-08-30,228,192.71428571428572
2024-08-31,236,193.85714285714286
2024-09-01,225,199.42857142857142
2024-09-02,185,196.71428571428572
2024-09-03,164,196.0
2024-09-04,185,200.28571428571428
2024-09-05,192,202.14285714285714
2024-09-06,235,203.14285714285714
2024-09-07,235,203.0
2024-09-08,252,206.85714285714286
2024-09-09,199,208.85714285714286
2024-09-10,156,207.71428571428572
2024-09-11,185,207.71428571428572
2024-09-12,195,208.14285714285714
2024-09-13,208,204.28571428571428
2024-09-14,247,206.0
2024-09-15,257,206.71428571428572
2024-09-16,195,206.14285714285714
2024-09-17,179,209.42857142857142
2024-09-18,183,209.14285714285714
2024-09-19,195,209.14285714285714
2024-09-20,235,213.0
2024-09-21,225,209.85714285714286
2024-09-22,252,209.14285714285714
2024-09-23,188,208.14285714285714
2024-09-24,178,208.0
2024-09-25,200,210.42857142857142
2024-09-26,177,207.85714285714286
2024-09-27,235,207.85714285714286
2024-09-28,232,208.85714285714286
2024-09-29,210,202.85714285714286
2024-09-30,218,207.14285714285714
2024-10-01,180,207.42857142857142
2024-10-02,208,208.57142857142858
2024-10-03,183,209.42857142857142
2024-10-04,227,208.28571428571428
2024-10-05,242,209.71428571428572
2024-10-06,254,216.0
2024-10-07,188,211.71428571428572
2024-10-08,194,213.71428571428572
2024-10-09,179,209.57142857142858
2024-10-10,227,215.85714285714286
2024-10-11,261,220.71428571428572
2024-10-12,229,218.85714285714286
2024-10-13,238,216.57142857142858
2024-10-14,189,216.71428571428572
2024-10-15,189,216.0
2024-10-16,174,215.28571428571428
2024-10-17,205,212.14285714285714
2024-10-18,204,204.0
2024-10-19,231,204.28571428571428
2024-10-20,282,210.57142857142858
2024-10-21,173,208.28571428571428
2024-10-22,184,207.57142857142858
2024-10-23,183,208.85714285714286
2024-10-24,195,207.42857142857142
2024-10-25,223,210.14285714285714
2024-10-26,220,208.57142857142858
2024-10-27,201,197.0
2024-10-28,201,201.0
2024-10-29,179,200.28571428571428
2024-10-30,172,198.71428571428572
2024-10-31,191,198.14285714285714
2024-11-01,193,193.85714285714286
2024-11-02,240,196.71428571428572
2024-11-03,232,201.14285714285714
2024-11-04,208,202.14285714285714
2024-11-05,165,200.14285714285714
2024-11-06,179,201.14285714285714
2024-11-07,188,200.71428571428572
2024-11-08,255,209.57142857142858
2024-11-09,209,205.14285714285714
2024-11-10,249,207.57142857142858
2024-11-11,183,204.0
2024-11-12,196,208.42857142857142
2024-11-13,194,210.57142857142858
2024-11-14,230,216.57142857142858
2024-11-15,249,215.71428571428572
2024-11-16,222,217.57142857142858
2024-11-17,216,212.85714285714286
2024-11-18,186,213.28571428571428
2024-11-19,200,213.85714285714286
2024-11-20,155,208.28571428571428
2024-11-21,171,199.85714285714286
2024-11-22,223,196.14285714285714
2024-11-23,227,196.85714285714286
2024-11-24,214,196.57142857142858
2024-11-25,188,196.85714285714286
2024-11-26,183,194.42857142857142
2024-11-27,187,199.0
2024-11-28,187,201.28571428571428
2024-11-29,196,197.42857142857142
2024-11-30,210,195.0
2024-12-01,248,199.85714285714286
2024-12-02,197,201.14285714285714
2024-12-03,180,200.71428571428572
2024-12-04,176,199.14285714285714
2024-12-05,178,197.85714285714286
2024-12-06,245,204.85714285714286
2024-12-07,269,213.28571428571428
2024-12-08,215,208.57142857142858
2024-12-09,209,210.28571428571428
2024-12-10,191,211.85714285714286
2024-12-11,197,214.85714285714286
2024-12-12,196,217.42857142857142
2024-12-13,223,214.28571428571428
2024-12-14,265,213.71428571428572
2024-12-15,245,218.0
2024-12-16,187,214.85714285714286
2024-12-17,196,215.57142857142858
2024-12-18,192,214.85714285714286
2024-12-19,219,218.14285714285714
2024-12-20,280,226.28571428571428
2024-12-21,319,234.0
2024-12-22,281,239.14285714285714
2024-12-23,222,244.14285714285714
2024-12-24,178,241.57142857142858
2024-12-25,218,245.28571428571428
2024-12-26,192,241.42857142857142
2024-12-27,211,231.57142857142858
2024-12-28,200,214.57142857142858
2024-12-29,145,195.14285714285714
2024-12-30,157,185.85714285714286
2024-12-31,156,182.71428571428572
2025-01-01,193,179.14285714285714
2025-01-02,161,174.71428571428572
2025-01-03,179,170.14285714285714
2025-01-04,179,167.14285714285714
2025-01-05,164,169.85714285714286
2025-01-06,173,172.14285714285714
2025-01-07,146,170.71428571428572
2025-01-08,158,165.71428571428572
2025-01-09,165,166.28571428571428
2025-01-10,183,166.85714285714286
2025-01-11,192,168.71428571428572
2025-01-12,200,173.85714285714286
2025-01-13,182,175.14285714285714
2025-01-14,175,179.28571428571428
2025-01-15,187,183.42857142857142
2025-01-16,155,182.0
2025-01-17,192,183.28571428571428
2025-01-18,183,182.0
2025-01-19,203,182.42857142857142
2025-01-20,206,185.85714285714286
2025-01-21,168,184.85714285714286
2025-01-22,173,182.85714285714286
2025-01-23,165,184.28571428571428
2025-01-24,174,181.71428571428572
2025-01-25,208,185.28571428571428
2025-01-26,228,188.85714285714286
2025-01-27,185,185.85714285714286
2025-01-28,150,183.28571428571428
2025-01-29,146,179.42857142857142
2025-01-30,166,179.57142857142858
2025-01-31,189,181.71428571428572
2025-02-01,187,178.71428571428572
2025-02-02,220,177.57142857142858
2025-02-03,176,176.28571428571428
2025-02-04,156,177.14285714285714
